School Name,Type,Region,State,Longitude,Latitude,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,1st,2nd,3rd,4th,5th
Mississippi College,Private,Southern,MS,-90.330452,32.33456492,35400,60400,,43900,80400,,Nursing,Biology,Nutrition,Accounting,Education
Mississippi State University (MSU),State,Southern,MS,-88.790826,33.451697,44500,79300,43300,58800,108000,151000,Nutrition,Business Management,Mechanical Engineering,Communications,Marketing
Missouri State University (MSU),State,Midwestern,MO,-93.2807,37.2006,36100,69500,33300,46900,102000,134000,Business Management,Psychology,Education,Communications,Marketing
Montana State University - Billings,State,Western,MT,-108.523009,45.79689588,37900,50600,,31800,78500,,Business Management,Education,Nursing,Criminal Justice,MIS
Montana State University - Bozeman,State,Western,MT,-111.0546,45.6674,46600,77500,40200,58100,111000,151000,Business Management,Nursing,Mechanical Engineering,Chemical Engineering,Biology
Moravian College,Liberal Arts,Northeastern,PA,-75.380979,40.63088812,42500,74400,,56700,94900,,Nursing,Business Management,Psychology,Economics,Sociology
Morehead State University,State,Southern,KY,-83.429742,38.188462,34800,60600,34300,46500,72000,91300,Nursing,Education,Business Management,Agriculture,Accounting
Mount Holyoke College,Liberal Arts,Northeastern,MA,-72.573625,42.25758777,42400,94200,,57100,131000,,Economics,Computer Science,Biology,Psychology,English
New Mexico Institute of Mining and Technology (New Mexico Tech),Engineering,Western,NM,-106.907701,34.06618984,51000,93400,,67400,123000,,Mechanical Engineering,Chemical Engineering,Computer Science,Electrical Engineering,Biology
New Mexico State University,State,Western,NM,-106.747841,32.282875,44300,79500,37400,53800,102000,131000,Business Management,Nursing,Criminal Justice,Mechanical Engineering,Marketing
New York University (NYU),Private,Northeastern,NY,-73.997264,40.7294519,50300,95600,47500,65000,142000,216000,Economics,Business Management,Nursing,Film,Drama
Niagara University,Private,Northeastern,NY,-79.036689,43.137279,36900,69700,44000,57000,92000,128000,Business Management,Nursing,Criminal Justice,Accounting,Information Technology (IT)
North Carolina State University (NCSU),State,Southern,NC,-78.674517,35.78511061,47200,83300,49200,64800,112000,153000,Business Management,Biology,Mechanical Engineering,Communications,Psychology
North Dakota State University (NDSU),State,Midwestern,ND,-96.805689,46.89452277,45100,77800,39000,55800,100000,123000,Nursing,Mechanical Engineering,Business Management,Psychology,Agriculture
Northeastern University,Private,Northeastern,MA,-71.088069,42.34018276,50500,86400,47100,62700,117000,159000,Business Management,Economics,Mechanical Engineering,Information Technology (IT),Communications
Northern Illinois University (NIU),State,Midwestern,IL,-88.766065,41.93379093,43600,80800,43900,60200,111000,161000,Accounting,Communications,Psychology,Health Care Administration,Nursing
Northwestern University,Private,Midwestern,IL,-87.673653,42.05837717,52700,95900,51900,69100,144000,205000,Economics,Psychology,Journalism,Biology,Political Science
Oberlin College,Liberal Arts,Midwestern,OH,-82.221786,41.29473992,43400,81600,,46400,128000,,Music,Political Science,Biology,Economics,Psychology
Occidental College,Liberal Arts,California,CA,-118.210783,34.1262239,51900,105000,,54800,157000,,Economics,International Relations,Biology,Math,Sociology
Ohio State University (OSU),State,Midwestern,OH,-83.008792,39.99949343,44900,83700,45500,60700,116000,162000,Finance,Psychology,Communications,Marketing,Accounting
Ohio University,Party,Midwestern,OH,-82.103503,39.323839,42200,73400,36600,52800,106000,150000,Nursing,Business Management,Communications,Marketing,Journalism
Oklahoma City University,Private,Southern,OK,-97.541242,35.49527098,40000,64300,,45400,80600,,Nursing,Music,Drama,Film,Business Management
Oklahoma State University,State,Southern,OK,-97.069743,36.12308498,42800,80700,40100,56500,114000,151000,Business Management,Marketing,Mechanical Engineering,Finance,Accounting
Oregon State University (OSU),State,Western,OR,-123.278711,44.563109,45100,83300,46900,64000,113000,146000,Computer Science,Business Management,Mechanical Engineering,Psychology,Biology
Pace University,Private,Northeastern,NY,-74.004874,40.71170978,53200,89700,44200,65400,129000,187000,Business Management,Nursing,Communications,Finance,Accounting
Park University,Private,Midwestern,MO,-94.677086,39.18947692,44300,64300,37200,45600,86400,113000,Business Management,Psychology,Criminal Justice,Information Technology (IT),MIS
Penn State - Harrisburg,State,Northeastern,PA,-76.741961,40.20523447,45700,74000,44000,53100,104000,150000,Mechanical Engineering,Civil Engineering,Information Technology (IT),Accounting,Criminal Justice
Pennsylvania State University (PSU),Party,Northeastern,PA,-77.861644,40.800732,49900,85700,46300,62000,117000,160000,Information Technology (IT),Biology,Economics,Finance,Mechanical Engineering
Philadelphia University,Private,Northeastern,PA,-75.1927,40.0197,45100,80300,45800,61900,108000,141000,Architecture,Business Management,Health Care Administration,Graphic Design,Art History
Pittsburg State University,State,Midwestern,KS,-94.702483,37.39205667,40400,58200,25600,46000,84600,117000,Nursing,Education,Business Management,Psychology,Communications
"Polytechnic University of New York, Brooklyn",Engineering,Northeastern,NY,-73.9866,40.6942,62400,114000,66800,94300,143000,190000,Mechanical Engineering,Electrical Engineering,Computer Science,Physics,Chemical Engineering
Pomona College,Liberal Arts,California,CA,-117.711944,34.09829827,48600,101000,,63300,161000,,Economics,Math,Computer Science,Psychology,Physics
Portland State University (PSU),State,Western,OR,-122.684197,45.51169772,42600,70900,40700,52300,94400,123000,Health Care Administration,Psychology,Business Management,Sociology,Marketing
Pratt Institute,Private,Northeastern,NY,-73.962149,40.69115429,43800,89900,48600,65400,123000,155000,Architecture,Graphic Design,Interior Design,Art History,Film
Princeton University,Ivy League,Northeastern,NJ,-74.657698,40.34714142,66500,131000,68900,100000,190000,261000,Computer Engineering,Economics,History,Political Science,Biology
Providence College,Private,Northeastern,RI,-71.437906,41.84419284,48000,88600,42800,62900,138000,194000,Finance,Business Management,Marketing,Biology,Psychology
Purdue University,State,Midwestern,IN,-86.914435,40.428206,51400,90500,49900,67400,121000,168000,Business Management,Mechanical Engineering,Computer Science,Industrial Engineering,Math
Quinnipiac University,Private,Northeastern,CT,-72.894115,41.41890787,43000,76500,47900,57400,117000,155000,Health Care Administration,Nursing,Business Management,Finance,Psychology
Randolph-Macon College,Party,Southern,VA,-77.4781,37.76078507,42600,83600,,54100,123000,,Business Management,Biology,Communications,Psychology,Political Science
Reed College,Liberal Arts,Western,OR,-122.630348,45.48095914,40500,81100,,67400,101000,,Psychology,Biology,English,Physics,History
Regis University,Private,Western,CO,-105.030756,39.78817522,48300,73800,41000,55500,94800,117000,Nursing,Business Management,Computer Science,Accounting,Communications
Rensselaer Polytechnic Institute (RPI),Engineering,Northeastern,NY,-73.678768,42.72898349,61100,110000,71600,85500,140000,182000,Computer Science,Mechanical Engineering,Chemical Engineering,Electrical Engineering,Business Management
Rice University,Engineering,Southern,TX,-95.404977,29.71621847,64000,110000,55900,82100,141000,216000,Economics,Information Technology (IT),Chemical Engineering,Nutrition,Mechanical Engineering
Rider University,Private,Northeastern,NJ,-74.736978,40.28049488,43600,88900,47100,63100,127000,150000,Business Management,Psychology,Accounting,Education,Finance
Robert Morris College (RMC),Private,Midwestern,PA,-80.211585,40.52067902,38500,68200,37300,47100,95000,128000,Nursing,Accounting,Business Management,Computer Science,Finance
Rochester Institute of Technology (RIT),Engineering,Northeastern,NY,-77.673854,43.08443583,48900,84600,45000,62100,112000,159000,Mechanical Engineering,Computer Science,Electrical Engineering,Computer Engineering,Civil Engineering
Roger Williams University,Private,Northeastern,RI,-71.260561,41.64820868,42000,72300,39800,48500,102000,138000,Criminal Justice,Marketing,Psychology,Architecture,Business Management
Rutgers University,State,Northeastern,NJ,-74.447007,40.49953534,50300,91800,48100,65100,128000,176000,Information Technology (IT),Psychology,Economics,Biology,Nursing
Sacred Heart University,Private,Northeastern,CT,-73.24461,41.22154751,46000,75300,39700,54800,105000,150000,Nursing,Business Management,Marketing,Psychology,Finance
Saint Leo University,Private,Southern,FL,-82.257794,28.33678314,40900,57800,34400,41800,80600,113000,Business Management,Criminal Justice,Psychology,Health Care Administration,Accounting
San Diego State University (SDSU),State,California,CA,-117.071228,32.7752498,46200,85200,45500,61800,116000,158000,Business Management,Psychology,Education,Criminal Justice,Communications
San Francisco State University (SFSU),State,California,CA,-122.477905,37.72134502,47300,86400,45100,62700,114000,150000,Business Management,Biology,Psychology,Communications,Criminal Justice
San Jose State University (SJSU),State,California,CA,-121.880459,37.33750869,53500,95600,50700,70500,122000,156000,Business Management,Psychology,Education,Communications,Computer Science
Seattle University,Private,Western,WA,-122.3197,47.6101379,48300,82800,50600,62400,110000,150000,Nursing,Finance,Marketing,Psychology,Accounting
Seton Hall University,Private,Northeastern,NJ,-74.248753,40.74285935,48900,89200,55700,70600,133000,195000,Biology,Nursing,Marketing,Finance,International Relations
Siena College,Liberal Arts,Northeastern,NY,-73.751027,42.71862178,45500,85200,38700,58400,129000,189000,Marketing,Accounting,Psychology,Finance,Biology
Skidmore College,Liberal Arts,Northeastern,NY,-73.785322,43.09702687,41600,74600,,42800,147000,,Business Management,English,Psychology,Political Science,Economics
Smith College,Liberal Arts,Northeastern,MA,-72.638094,42.317933,44000,83900,45100,59800,129000,184000,Political Science,Psychology,Economics,Biology,English
South Dakota School of Mines & Technology,Engineering,Midwestern,SD,-103.205753,44.07543935,55800,93400,71500,81900,122000,147000,Mechanical Engineering,Civil Engineering,Chemical Engineering,Industrial Engineering,Electrical Engineering
